jobtitle,company,domain,skills,salary,location,experience,posteddate,salary_min,salary_max,experience_level,primary_skill,city
Web Developer,Accenture,Cloud Engineering,"AWS, Spark, Kubernetes, Tableau, React, Linux","₹16,00,000 - ₹25,00,000",Bangalore,Entry,2025-02-23,1600000,2500000,Entry,AWS,Bangalore
Web Developer,TCS,Web Development,"Spark, Linux, Kubernetes, Excel","₹6,00,000 - ₹9,00,000",Hyderabad,Mid,2025-01-10,600000,900000,Mid,Spark,Hyderabad
Data Engineer,Amazon,Machine Learning,"Docker, React, Python, Kubernetes, Linux","₹16,00,000 - ₹25,00,000",Kolkata,Mid,2025-10-15,1600000,2500000,Mid,Docker,Kolkata
Data Engineer,Accenture,Software Development,"Scala, Power BI, C++, Tableau, Linux, SQL","₹3,00,000 - ₹5,00,000",Delhi,Mid,2025-03-28,300000,500000,Mid,Scala,Delhi
Web Developer,Cognizant,Software Development,"Excel, Tableau, Power BI","₹10,00,000 - ₹15,00,000",Coimbatore,Senior,2025-04-04,1000000,1500000,Senior,Excel,Coimbatore
DevOps Engineer,Cognizant,Cloud Engineering,"React, Excel, SQL, TensorFlow, Java, C++","₹10,00,000 - ₹15,00,000",Mumbai,Senior,2025-06-26,1000000,1500000,Senior,React,Mumbai
Data Analyst,Infosys,Business Analysis,"Power BI, AWS, Python, Spark","₹6,00,000 - ₹9,00,000",Delhi,Mid,2025-04-06,600000,900000,Mid,Power BI,Delhi
Machine Learning Engineer,Tech Mahindra,AI Research,"Python, C++, AWS, Java, Linux","₹3,00,000 - ₹5,00,000",Hyderabad,Mid,2025-01-19,300000,500000,Mid,Python,Hyderabad
Data Engineer,Wipro,Cybersecurity,"AWS, SQL, Docker, Excel","₹10,00,000 - ₹15,00,000",Chennai,Senior,2025-11-04,1000000,1500000,Senior,AWS,Chennai
Data Analyst,HCL,Web Development,"Java, Linux, Docker, Kubernetes, C++, Excel","₹16,00,000 - ₹25,00,000",Hyderabad,Entry,2025-07-21,1600000,2500000,Entry,Java,Hyderabad
DevOps Engineer,TCS,Web Development,"Excel, Spark, Scala, Kubernetes, TensorFlow, Power BI","₹3,00,000 - ₹5,00,000",Chennai,Senior,2025-12-08,300000,500000,Senior,Excel,Chennai
Business Analyst,Infosys,Business Analysis,"Kubernetes, React, Docker, Linux","₹16,00,000 - ₹25,00,000",Kolkata,Mid,2025-12-01,1600000,2500000,Mid,Kubernetes,Kolkata
Security Analyst,Accenture,Data Science,"Python, AWS, Kubernetes, Docker, Scala","₹6,00,000 - ₹9,00,000",Bangalore,Senior,2025-10-17,600000,900000,Senior,Python,Bangalore
Cloud Architect,Infosys,AI Research,"Spark, Java, AWS, TensorFlow, Docker, React","₹6,00,000 - ₹9,00,000",Delhi,Senior,2025-10-17,600000,900000,Senior,Spark,Delhi
Software Developer,Infosys,Web Development,"Spark, Python, Docker","₹6,00,000 - ₹9,00,000",Kolkata,Mid,2025-11-08,600000,900000,Mid,Spark,Kolkata
Software Developer,Accenture,Cloud Engineering,"Power BI, Kubernetes, Spark, Scala","₹3,00,000 - ₹5,00,000",Mumbai,Senior,2025-09-15,300000,500000,Senior,Power BI,Mumbai
Data Analyst,Wipro,Data Science,"Scala, Java, TensorFlow, C++, Tableau, Spark","₹3,00,000 - ₹5,00,000",Pune,Mid,2025-11-14,300000,500000,Mid,Scala,Pune
Data Engineer,Accenture,Web Development,"Tableau, SQL, Power BI, Scala, Java","₹10,00,000 - ₹15,00,000",Delhi,Entry,2025-06-04,1000000,1500000,Entry,Tableau,Delhi
Security Analyst,HCL,Data Science,"Tableau, AWS, C++, SQL","₹3,00,000 - ₹5,00,000",Bangalore,Entry,2025-03-09,300000,500000,Entry,Tableau,Bangalore
Software Developer,Wipro,Web Development,"Spark, Scala, AWS, Linux","₹16,00,000 - ₹25,00,000",Pune,Senior,2025-02-09,1600000,2500000,Senior,Spark,Pune
Data Analyst,Infosys,Cloud Engineering,"C++, Excel, Spark, Power BI, Scala","₹16,00,000 - ₹25,00,000",Pune,Entry,2025-12-28,1600000,2500000,Entry,C++,Pune
DevOps Engineer,Google,Web Development,"Excel, Python, SQL, Scala","₹10,00,000 - ₹15,00,000",Mumbai,Senior,2025-06-06,1000000,1500000,Senior,Excel,Mumbai
Software Developer,HCL,Business Analysis,"Power BI, Tableau, Excel, SQL","₹3,00,000 - ₹5,00,000",Kolkata,Entry,2025-01-16,300000,500000,Entry,Power BI,Kolkata
Data Engineer,Infosys,Cybersecurity,"Python, Docker, Scala, Kubernetes","₹3,00,000 - ₹5,00,000",Delhi,Mid,2025-09-04,300000,500000,Mid,Python,Delhi
Software Developer,Infosys,Machine Learning,"Java, Python, C++, Docker, Kubernetes, AWS","₹6,00,000 - ₹9,00,000",Hyderabad,Entry,2025-11-20,600000,900000,Entry,Java,Hyderabad
Cloud Architect,HCL,Web Development,"TensorFlow, Power BI, Spark, Linux","₹6,00,000 - ₹9,00,000",Bangalore,Entry,2025-11-02,600000,900000,Entry,TensorFlow,Bangalore
AI Engineer,Tech Mahindra,Web Development,"AWS, Tableau, Kubernetes, React","₹10,00,000 - ₹15,00,000",Chennai,Entry,2025-02-26,1000000,1500000,Entry,AWS,Chennai
Software Developer,Google,Business Analysis,"Tableau, Python, SQL, Power BI, Kubernetes","₹3,00,000 - ₹5,00,000",Pune,Mid,2025-12-12,300000,500000,Mid,Tableau,Pune
Business Analyst,Microsoft,Data Science,"Tableau, React, Spark, Linux, Excel","₹6,00,000 - ₹9,00,000",Pune,Senior,2025-03-14,600000,900000,Senior,Tableau,Pune
Business Analyst,TCS,AI Research,"Spark, Tableau, React, Power BI","₹10,00,000 - ₹15,00,000",Coimbatore,Senior,2025-11-23,1000000,1500000,Senior,Spark,Coimbatore
Machine Learning Engineer,Microsoft,Cybersecurity,"Excel, Docker, Power BI, Java, AWS","₹16,00,000 - ₹25,00,000",Delhi,Mid,2025-10-14,1600000,2500000,Mid,Excel,Delhi
AI Engineer,Tech Mahindra,Business Analysis,"Linux, Docker, SQL, Python, Kubernetes","₹3,00,000 - ₹5,00,000",Coimbatore,Senior,2025-09-20,300000,500000,Senior,Linux,Coimbatore
AI Engineer,Google,AI Research,"Spark, Scala, C++","₹10,00,000 - ₹15,00,000",Delhi,Senior,2025-02-25,1000000,1500000,Senior,Spark,Delhi
Web Developer,Google,Machine Learning,"Scala, Power BI, C++, AWS, Linux, Docker","₹3,00,000 - ₹5,00,000",Pune,Entry,2025-12-12,300000,500000,Entry,Scala,Pune
DevOps Engineer,Microsoft,Software Development,"Linux, Tableau, Docker, Spark, TensorFlow","₹16,00,000 - ₹25,00,000",Pune,Entry,2025-11-28,1600000,2500000,Entry,Linux,Pune
AI Engineer,Wipro,Cloud Engineering,"Java, SQL, Kubernetes, C++","₹10,00,000 - ₹15,00,000",Pune,Senior,2025-03-28,1000000,1500000,Senior,Java,Pune
Machine Learning Engineer,Wipro,AI Research,"Scala, Tableau, SQL, Java, Excel","₹6,00,000 - ₹9,00,000",Hyderabad,Senior,2025-01-06,600000,900000,Senior,Scala,Hyderabad
Cloud Architect,Microsoft,Machine Learning,"Java, Power BI, TensorFlow","₹16,00,000 - ₹25,00,000",Hyderabad,Senior,2025-06-20,1600000,2500000,Senior,Java,Hyderabad
Machine Learning Engineer,Accenture,Cloud Engineering,"Python, SQL, Linux, Excel, React, Java","₹16,00,000 - ₹25,00,000",Chennai,Senior,2025-10-18,1600000,2500000,Senior,Python,Chennai
Machine Learning Engineer,Google,Software Development,"Power BI, TensorFlow, C++, Tableau, React, Linux","₹3,00,000 - ₹5,00,000",Chennai,Entry,2025-10-23,300000,500000,Entry,Power BI,Chennai
Business Analyst,Cognizant,Software Development,"React, Linux, Power BI","₹16,00,000 - ₹25,00,000",Kolkata,Mid,2025-11-11,1600000,2500000,Mid,React,Kolkata
DevOps Engineer,Amazon,Machine Learning,"Tableau, AWS, Python, Scala","₹16,00,000 - ₹25,00,000",Mumbai,Entry,2025-12-28,1600000,2500000,Entry,Tableau,Mumbai
AI Engineer,Google,AI Research,"React, SQL, Scala, Excel","₹6,00,000 - ₹9,00,000",Bangalore,Mid,2025-12-14,600000,900000,Mid,React,Bangalore
Cloud Architect,Accenture,AI Research,"SQL, C++, Spark, Linux","₹3,00,000 - ₹5,00,000",Mumbai,Senior,2025-01-25,300000,500000,Senior,SQL,Mumbai
Data Engineer,HCL,Business Analysis,"Java, Docker, SQL, C++","₹6,00,000 - ₹9,00,000",Chennai,Mid,2025-09-23,600000,900000,Mid,Java,Chennai
DevOps Engineer,Cognizant,Web Development,"AWS, Docker, Power BI, React","₹6,00,000 - ₹9,00,000",Mumbai,Mid,2025-04-26,600000,900000,Mid,AWS,Mumbai
Data Engineer,HCL,Cloud Engineering,"Java, Spark, Tableau, Excel, Python, React","₹6,00,000 - ₹9,00,000",Pune,Mid,2025-10-26,600000,900000,Mid,Java,Pune
Business Analyst,Amazon,Software Development,"C++, SQL, React, Tableau, AWS, Linux","₹10,00,000 - ₹15,00,000",Mumbai,Mid,2025-04-12,1000000,1500000,Mid,C++,Mumbai
Machine Learning Engineer,HCL,Cloud Engineering,"TensorFlow, Scala, AWS, SQL, Tableau, Docker","₹10,00,000 - ₹15,00,000",Kolkata,Entry,2025-08-25,1000000,1500000,Entry,TensorFlow,Kolkata
Security Analyst,Cognizant,Web Development,"React, AWS, Power BI, Scala, Java, C++","₹6,00,000 - ₹9,00,000",Bangalore,Mid,2025-07-12,600000,900000,Mid,React,Bangalore
Software Developer,Cognizant,Business Analysis,"C++, Tableau, AWS, TensorFlow","₹6,00,000 - ₹9,00,000",Kolkata,Mid,2025-04-26,600000,900000,Mid,C++,Kolkata
AI Engineer,Google,Cloud Engineering,"Kubernetes, Excel, Linux","₹10,00,000 - ₹15,00,000",Kolkata,Mid,2025-03-06,1000000,1500000,Mid,Kubernetes,Kolkata
Data Engineer,Wipro,Machine Learning,"Excel, SQL, Scala, Docker, Spark, Kubernetes","₹6,00,000 - ₹9,00,000",Coimbatore,Senior,2025-05-14,600000,900000,Senior,Excel,Coimbatore
Data Engineer,Cognizant,AI Research,"Scala, SQL, Kubernetes, Spark, Tableau","₹16,00,000 - ₹25,00,000",Chennai,Senior,2025-07-25,1600000,2500000,Senior,Scala,Chennai
Web Developer,HCL,Data Science,"Python, Linux, React, C++, SQL","₹10,00,000 - ₹15,00,000",Delhi,Senior,2025-03-01,1000000,1500000,Senior,Python,Delhi
Data Engineer,Accenture,Software Development,"Python, Linux, Kubernetes, TensorFlow, SQL","₹3,00,000 - ₹5,00,000",Chennai,Entry,2025-07-09,300000,500000,Entry,Python,Chennai
Software Developer,HCL,Cloud Engineering,"Tableau, Java, AWS","₹3,00,000 - ₹5,00,000",Kolkata,Entry,2025-06-01,300000,500000,Entry,Tableau,Kolkata
Cloud Architect,Google,Business Analysis,"Linux, SQL, Excel, Python","₹16,00,000 - ₹25,00,000",Delhi,Senior,2025-08-07,1600000,2500000,Senior,Linux,Delhi
Business Analyst,Wipro,Cloud Engineering,"C++, Java, TensorFlow, Linux, Spark","₹3,00,000 - ₹5,00,000",Bangalore,Senior,2025-10-18,300000,500000,Senior,C++,Bangalore
Web Developer,Accenture,AI Research,"Linux, Docker, Python, C++, Tableau","₹3,00,000 - ₹5,00,000",Hyderabad,Mid,2025-08-22,300000,500000,Mid,Linux,Hyderabad
Web Developer,Tech Mahindra,Business Analysis,"Power BI, Excel, Python, C++","₹6,00,000 - ₹9,00,000",Bangalore,Entry,2025-10-01,600000,900000,Entry,Power BI,Bangalore
Business Analyst,Tech Mahindra,Machine Learning,"C++, React, Java, Power BI","₹3,00,000 - ₹5,00,000",Coimbatore,Senior,2025-01-25,300000,500000,Senior,C++,Coimbatore
Data Analyst,HCL,Business Analysis,"React, TensorFlow, Java, Tableau, Kubernetes","₹16,00,000 - ₹25,00,000",Coimbatore,Entry,2025-12-08,1600000,2500000,Entry,React,Coimbatore
AI Engineer,Wipro,AI Research,"Python, React, TensorFlow, SQL, Java, Scala","₹10,00,000 - ₹15,00,000",Delhi,Senior,2025-01-28,1000000,1500000,Senior,Python,Delhi
DevOps Engineer,Tech Mahindra,Cybersecurity,"Spark, Linux, Kubernetes, AWS, Python","₹16,00,000 - ₹25,00,000",Hyderabad,Entry,2025-05-10,1600000,2500000,Entry,Spark,Hyderabad
Security Analyst,Wipro,Data Science,"Python, C++, Tableau, Scala, Kubernetes","₹10,00,000 - ₹15,00,000",Bangalore,Senior,2025-10-27,1000000,1500000,Senior,Python,Bangalore
Security Analyst,HCL,Cybersecurity,"Spark, TensorFlow, React","₹6,00,000 - ₹9,00,000",Delhi,Senior,2025-12-06,600000,900000,Senior,Spark,Delhi
Data Analyst,Google,Software Development,"Tableau, Java, Excel, React","₹16,00,000 - ₹25,00,000",Bangalore,Senior,2025-02-01,1600000,2500000,Senior,Tableau,Bangalore
Software Developer,Cognizant,Business Analysis,"Docker, Spark, Kubernetes","₹3,00,000 - ₹5,00,000",Hyderabad,Entry,2025-02-13,300000,500000,Entry,Docker,Hyderabad
Data Engineer,Microsoft,Software Development,"SQL, Python, Tableau, Power BI","₹16,00,000 - ₹25,00,000",Bangalore,Entry,2025-07-01,1600000,2500000,Entry,SQL,Bangalore
AI Engineer,Microsoft,Software Development,"Java, AWS, Excel, Scala","₹3,00,000 - ₹5,00,000",Kolkata,Senior,2025-07-18,300000,500000,Senior,Java,Kolkata
Data Engineer,Accenture,Web Development,"Excel, Docker, AWS, C++, React","₹3,00,000 - ₹5,00,000",Mumbai,Mid,2025-02-26,300000,500000,Mid,Excel,Mumbai
Web Developer,Infosys,Business Analysis,"Scala, React, Linux, Java, Power BI","₹16,00,000 - ₹25,00,000",Coimbatore,Entry,2025-08-24,1600000,2500000,Entry,Scala,Coimbatore
Security Analyst,Cognizant,AI Research,"SQL, TensorFlow, AWS, Python, React","₹6,00,000 - ₹9,00,000",Kolkata,Entry,2025-09-07,600000,900000,Entry,SQL,Kolkata
Software Developer,Tech Mahindra,Cloud Engineering,"Linux, TensorFlow, C++","₹16,00,000 - ₹25,00,000",Bangalore,Senior,2025-05-11,1600000,2500000,Senior,Linux,Bangalore
Web Developer,Cognizant,Cybersecurity,"Excel, Power BI, React, Tableau","₹3,00,000 - ₹5,00,000",Bangalore,Senior,2025-10-18,300000,500000,Senior,Excel,Bangalore
AI Engineer,Google,Machine Learning,"Tableau, Kubernetes, Python","₹6,00,000 - ₹9,00,000",Bangalore,Senior,2025-09-14,600000,900000,Senior,Tableau,Bangalore
Web Developer,Amazon,AI Research,"Tableau, Scala, Docker, Power BI, Linux, Python","₹16,00,000 - ₹25,00,000",Chennai,Mid,2025-10-15,1600000,2500000,Mid,Tableau,Chennai
Web Developer,Google,Machine Learning,"Tableau, Excel, React","₹6,00,000 - ₹9,00,000",Mumbai,Mid,2025-11-19,600000,900000,Mid,Tableau,Mumbai
DevOps Engineer,HCL,Cybersecurity,"Scala, AWS, Power BI, Excel, Linux, C++","₹10,00,000 - ₹15,00,000",Coimbatore,Entry,2025-06-27,1000000,1500000,Entry,Scala,Coimbatore
Data Analyst,Tech Mahindra,Business Analysis,"Docker, C++, Tableau, Spark","₹6,00,000 - ₹9,00,000",Hyderabad,Entry,2025-03-26,600000,900000,Entry,Docker,Hyderabad
AI Engineer,Tech Mahindra,Cybersecurity,"Excel, React, C++, TensorFlow, Power BI, AWS","₹10,00,000 - ₹15,00,000",Chennai,Mid,2025-09-08,1000000,1500000,Mid,Excel,Chennai
Business Analyst,Amazon,Software Development,"Tableau, AWS, Power BI","₹10,00,000 - ₹15,00,000",Mumbai,Senior,2025-11-16,1000000,1500000,Senior,Tableau,Mumbai
Business Analyst,Cognizant,Software Development,"Spark, TensorFlow, React","₹16,00,000 - ₹25,00,000",Chennai,Entry,2025-02-19,1600000,2500000,Entry,Spark,Chennai
Data Analyst,Wipro,Software Development,"Java, C++, Spark, AWS, SQL, React","₹16,00,000 - ₹25,00,000",Chennai,Entry,2025-03-09,1600000,2500000,Entry,Java,Chennai
Business Analyst,Wipro,Cloud Engineering,"Scala, Spark, Docker","₹6,00,000 - ₹9,00,000",Bangalore,Mid,2025-02-15,600000,900000,Mid,Scala,Bangalore
Data Analyst,Accenture,Data Science,"TensorFlow, Power BI, React, Excel, Spark","₹6,00,000 - ₹9,00,000",Mumbai,Entry,2025-02-11,600000,900000,Entry,TensorFlow,Mumbai
Web Developer,Infosys,AI Research,"Excel, TensorFlow, Scala","₹16,00,000 - ₹25,00,000",Hyderabad,Mid,2025-09-07,1600000,2500000,Mid,Excel,Hyderabad
Machine Learning Engineer,Cognizant,AI Research,"Scala, Kubernetes, SQL, Power BI, Docker","₹16,00,000 - ₹25,00,000",Kolkata,Entry,2025-07-24,1600000,2500000,Entry,Scala,Kolkata
Software Developer,TCS,Machine Learning,"React, Tableau, TensorFlow, AWS","₹10,00,000 - ₹15,00,000",Kolkata,Mid,2025-05-14,1000000,1500000,Mid,React,Kolkata
Software Developer,TCS,AI Research,"React, Kubernetes, Tableau, SQL","₹10,00,000 - ₹15,00,000",Bangalore,Entry,2025-02-14,1000000,1500000,Entry,React,Bangalore
DevOps Engineer,Accenture,Cloud Engineering,"Linux, AWS, Tableau, TensorFlow, SQL, Power BI","₹6,00,000 - ₹9,00,000",Coimbatore,Senior,2025-12-22,600000,900000,Senior,Linux,Coimbatore
Cloud Architect,Microsoft,Machine Learning,"Docker, C++, Java, Tableau, Power BI","₹10,00,000 - ₹15,00,000",Mumbai,Entry,2025-04-06,1000000,1500000,Entry,Docker,Mumbai
Software Developer,Accenture,Cybersecurity,"React, Power BI, AWS, Kubernetes, TensorFlow, SQL","₹6,00,000 - ₹9,00,000",Coimbatore,Senior,2025-08-20,600000,900000,Senior,React,Coimbatore
DevOps Engineer,Amazon,Web Development,"C++, Scala, SQL, Python","₹3,00,000 - ₹5,00,000",Delhi,Mid,2025-09-01,300000,500000,Mid,C++,Delhi
Cloud Architect,Cognizant,AI Research,"Power BI, Spark, Linux, Docker, Scala","₹16,00,000 - ₹25,00,000",Chennai,Entry,2025-12-06,1600000,2500000,Entry,Power BI,Chennai
Security Analyst,Infosys,Data Science,"TensorFlow, Power BI, Linux, Tableau, Java","₹6,00,000 - ₹9,00,000",Kolkata,Mid,2025-06-20,600000,900000,Mid,TensorFlow,Kolkata
Machine Learning Engineer,Wipro,AI Research,"Python, Spark, C++, Scala, AWS","₹6,00,000 - ₹9,00,000",Coimbatore,Entry,2025-03-22,600000,900000,Entry,Python,Coimbatore
Software Developer,Tech Mahindra,Cybersecurity,"Excel, Python, TensorFlow, Linux, React","₹10,00,000 - ₹15,00,000",Delhi,Mid,2025-12-15,1000000,1500000,Mid,Excel,Delhi
Machine Learning Engineer,Infosys,Cybersecurity,"TensorFlow, React, Spark, AWS","₹16,00,000 - ₹25,00,000",Delhi,Mid,2025-11-18,1600000,2500000,Mid,TensorFlow,Delhi
Business Analyst,Infosys,Cybersecurity,"SQL, Python, Kubernetes, Linux","₹10,00,000 - ₹15,00,000",Hyderabad,Senior,2025-01-15,1000000,1500000,Senior,SQL,Hyderabad
Web Developer,Microsoft,Web Development,"Java, C++, Power BI","₹10,00,000 - ₹15,00,000",Coimbatore,Senior,2025-09-08,1000000,1500000,Senior,Java,Coimbatore
DevOps Engineer,Amazon,Business Analysis,"Python, Kubernetes, Docker, Excel, Linux, React","₹16,00,000 - ₹25,00,000",Kolkata,Entry,2025-04-21,1600000,2500000,Entry,Python,Kolkata
Business Analyst,Accenture,Software Development,"Linux, Kubernetes, React, Java, Tableau, TensorFlow","₹16,00,000 - ₹25,00,000",Bangalore,Mid,2025-02-11,1600000,2500000,Mid,Linux,Bangalore
Software Developer,Cognizant,Machine Learning,"C++, Scala, Java, React, Spark","₹6,00,000 - ₹9,00,000",Hyderabad,Mid,2025-02-20,600000,900000,Mid,C++,Hyderabad
Software Developer,HCL,Business Analysis,"Excel, C++, Linux, TensorFlow, Python","₹10,00,000 - ₹15,00,000",Kolkata,Mid,2025-09-02,1000000,1500000,Mid,Excel,Kolkata
Web Developer,Amazon,Business Analysis,"Tableau, TensorFlow, React","₹16,00,000 - ₹25,00,000",Delhi,Entry,2025-02-11,1600000,2500000,Entry,Tableau,Delhi
Software Developer,HCL,Cloud Engineering,"C++, Python, Linux, React","₹3,00,000 - ₹5,00,000",Pune,Senior,2025-08-19,300000,500000,Senior,C++,Pune
Machine Learning Engineer,Infosys,Software Development,"Docker, Python, Tableau, Spark, Kubernetes","₹3,00,000 - ₹5,00,000",Hyderabad,Senior,2025-02-22,300000,500000,Senior,Docker,Hyderabad
Business Analyst,Wipro,Cloud Engineering,"Python, Docker, Power BI, SQL, Excel, Java","₹3,00,000 - ₹5,00,000",Bangalore,Mid,2025-07-10,300000,500000,Mid,Python,Bangalore
Machine Learning Engineer,Amazon,Data Science,"AWS, C++, Java, Linux, React","₹3,00,000 - ₹5,00,000",Mumbai,Senior,2025-12-06,300000,500000,Senior,AWS,Mumbai
Security Analyst,TCS,Web Development,"React, Tableau, Linux","₹3,00,000 - ₹5,00,000",Bangalore,Entry,2025-07-26,300000,500000,Entry,React,Bangalore
Security Analyst,Infosys,Cloud Engineering,"Docker, SQL, Scala","₹3,00,000 - ₹5,00,000",Pune,Senior,2025-01-27,300000,500000,Senior,Docker,Pune
DevOps Engineer,Accenture,Machine Learning,"Tableau, TensorFlow, Linux, React","₹6,00,000 - ₹9,00,000",Chennai,Senior,2025-11-15,600000,900000,Senior,Tableau,Chennai
Software Developer,Amazon,Data Science,"Scala, Power BI, C++","₹16,00,000 - ₹25,00,000",Kolkata,Mid,2025-09-08,1600000,2500000,Mid,Scala,Kolkata
Data Engineer,HCL,Web Development,"React, Spark, Power BI","₹6,00,000 - ₹9,00,000",Chennai,Senior,2025-01-07,600000,900000,Senior,React,Chennai
Software Developer,Infosys,Machine Learning,"Power BI, Docker, React","₹6,00,000 - ₹9,00,000",Pune,Entry,2025-12-02,600000,900000,Entry,Power BI,Pune
Data Analyst,Infosys,Cybersecurity,"SQL, Java, Power BI","₹10,00,000 - ₹15,00,000",Bangalore,Mid,2025-07-01,1000000,1500000,Mid,SQL,Bangalore
Software Developer,Accenture,AI Research,"Python, C++, Power BI, React, Tableau, Docker","₹10,00,000 - ₹15,00,000",Chennai,Senior,2025-10-01,1000000,1500000,Senior,Python,Chennai
Web Developer,Cognizant,Business Analysis,"Linux, Docker, Scala, Tableau, Spark","₹6,00,000 - ₹9,00,000",Chennai,Entry,2025-10-24,600000,900000,Entry,Linux,Chennai
Machine Learning Engineer,TCS,Cybersecurity,"Kubernetes, Power BI, Spark, Java","₹16,00,000 - ₹25,00,000",Chennai,Mid,2025-05-24,1600000,2500000,Mid,Kubernetes,Chennai
DevOps Engineer,Microsoft,Cybersecurity,"C++, Scala, TensorFlow, Tableau, Kubernetes, Excel","₹3,00,000 - ₹5,00,000",Coimbatore,Entry,2025-03-10,300000,500000,Entry,C++,Coimbatore
Cloud Architect,HCL,Web Development,"AWS, React, Java, Excel, Docker","₹6,00,000 - ₹9,00,000",Kolkata,Entry,2025-05-17,600000,900000,Entry,AWS,Kolkata
Data Analyst,HCL,Business Analysis,"Scala, Java, C++","₹16,00,000 - ₹25,00,000",Delhi,Mid,2025-12-21,1600000,2500000,Mid,Scala,Delhi
Software Developer,Wipro,Cloud Engineering,"C++, SQL, Excel, Power BI","₹3,00,000 - ₹5,00,000",Mumbai,Mid,2025-10-01,300000,500000,Mid,C++,Mumbai
Machine Learning Engineer,Tech Mahindra,Cloud Engineering,"Kubernetes, React, AWS, Excel, Spark","₹16,00,000 - ₹25,00,000",Hyderabad,Entry,2025-06-11,1600000,2500000,Entry,Kubernetes,Hyderabad
Cloud Architect,Microsoft,Cybersecurity,"Tableau, Spark, React","₹16,00,000 - ₹25,00,000",Bangalore,Mid,2025-02-07,1600000,2500000,Mid,Tableau,Bangalore
DevOps Engineer,Wipro,AI Research,"Python, AWS, Java, C++, Excel","₹10,00,000 - ₹15,00,000",Kolkata,Entry,2025-12-01,1000000,1500000,Entry,Python,Kolkata
Machine Learning Engineer,HCL,Machine Learning,"Java, Linux, AWS, Docker, Scala, Power BI","₹10,00,000 - ₹15,00,000",Hyderabad,Senior,2025-01-09,1000000,1500000,Senior,Java,Hyderabad
Web Developer,Microsoft,Cybersecurity,"Excel, React, Python","₹3,00,000 - ₹5,00,000",Coimbatore,Senior,2025-06-19,300000,500000,Senior,Excel,Coimbatore
Data Analyst,Infosys,Software Development,"Kubernetes, Docker, React, Spark, TensorFlow","₹10,00,000 - ₹15,00,000",Hyderabad,Senior,2025-02-26,1000000,1500000,Senior,Kubernetes,Hyderabad
Data Analyst,Amazon,Software Development,"Excel, React, Linux, TensorFlow","₹10,00,000 - ₹15,00,000",Chennai,Senior,2025-10-17,1000000,1500000,Senior,Excel,Chennai
Security Analyst,Infosys,Machine Learning,"AWS, Python, C++","₹16,00,000 - ₹25,00,000",Coimbatore,Senior,2025-09-27,1600000,2500000,Senior,AWS,Coimbatore
Data Analyst,Wipro,AI Research,"Docker, Scala, React, Excel, Linux","₹16,00,000 - ₹25,00,000",Bangalore,Senior,2025-07-25,1600000,2500000,Senior,Docker,Bangalore
Data Analyst,TCS,Cybersecurity,"TensorFlow, Java, Tableau","₹6,00,000 - ₹9,00,000",Chennai,Senior,2025-09-19,600000,900000,Senior,TensorFlow,Chennai
Data Engineer,Infosys,Data Science,"Tableau, Spark, Java","₹16,00,000 - ₹25,00,000",Coimbatore,Senior,2025-02-22,1600000,2500000,Senior,Tableau,Coimbatore
Business Analyst,Wipro,Business Analysis,"Spark, AWS, Kubernetes, Scala","₹6,00,000 - ₹9,00,000",Pune,Senior,2025-11-02,600000,900000,Senior,Spark,Pune
Data Engineer,Microsoft,Software Development,"React, SQL, Scala, Linux, Power BI","₹3,00,000 - ₹5,00,000",Coimbatore,Entry,2025-09-28,300000,500000,Entry,React,Coimbatore
AI Engineer,Cognizant,AI Research,"Tableau, AWS, Java, Linux, Python","₹6,00,000 - ₹9,00,000",Bangalore,Entry,2025-03-03,600000,900000,Entry,Tableau,Bangalore
Web Developer,Cognizant,Web Development,"Power BI, React, C++","₹10,00,000 - ₹15,00,000",Kolkata,Senior,2025-03-03,1000000,1500000,Senior,Power BI,Kolkata
Web Developer,Microsoft,Software Development,"Excel, Tableau, Linux, Java","₹6,00,000 - ₹9,00,000",Chennai,Senior,2025-11-08,600000,900000,Senior,Excel,Chennai
AI Engineer,Wipro,Business Analysis,"Kubernetes, Excel, Docker, SQL","₹6,00,000 - ₹9,00,000",Delhi,Mid,2025-11-19,600000,900000,Mid,Kubernetes,Delhi
DevOps Engineer,Amazon,Business Analysis,"C++, Python, TensorFlow, Spark, Docker","₹3,00,000 - ₹5,00,000",Chennai,Mid,2025-02-14,300000,500000,Mid,C++,Chennai
Machine Learning Engineer,Cognizant,Data Science,"SQL, Excel, Scala, C++, React, Kubernetes","₹3,00,000 - ₹5,00,000",Kolkata,Senior,2025-10-05,300000,500000,Senior,SQL,Kolkata
AI Engineer,Amazon,Business Analysis,"AWS, C++, TensorFlow","₹10,00,000 - ₹15,00,000",Hyderabad,Entry,2025-08-18,1000000,1500000,Entry,AWS,Hyderabad
Data Engineer,HCL,Web Development,"Tableau, Scala, Python, Excel, SQL","₹16,00,000 - ₹25,00,000",Chennai,Senior,2025-12-11,1600000,2500000,Senior,Tableau,Chennai
Data Engineer,Tech Mahindra,Web Development,"Power BI, Linux, Tableau, Scala","₹16,00,000 - ₹25,00,000",Hyderabad,Entry,2025-10-02,1600000,2500000,Entry,Power BI,Hyderabad
Security Analyst,Microsoft,Machine Learning,"Tableau, AWS, Scala, Power BI, Java, Python","₹10,00,000 - ₹15,00,000",Delhi,Entry,2025-10-13,1000000,1500000,Entry,Tableau,Delhi
